ID,Path,Reason
8022021124206260,\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_01-01.21.tar - Copy.gz,No Monitor Logs Present in Archives
8022021130215843,\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_01-01.21.tar - Copy.gz,No Monitor Logs Present in Archives
8022021145310183,\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_01-01.21.tar - Copy.gz,No Monitor Logs Present in Archives
8022021145856812,\\sftp.eu.xonxradingx.com\LonSupp\hsbclon\Monitor_Logs\DM_gbl18645\02052021,UTC Offset not present
8022021145857083,\\sftp.eu.xonxradingx.com\LonSupp\hsbclon\Monitor_Logs\DM_gbl18645\02062021,UTC Offset not present
8022021145857332,\\sftp.eu.xonxradingx.com\LonSupp\hsbclon\Monitor_Logs\DM_gbl18645\02072021,UTC Offset not present
9022021100634379,\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_01-01.21.tar - Copy.gz,No Monitor Logs Present in Archives
9022021100952614,\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_01-01.21.tar - Copy.gz,No Monitor Logs Present in Archives
9022021103040803,\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_01-01.21.tar - Copy.gz,No Monitor Logs Present in Archives
9022021103731664,\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_01-01.21.tar - Copy.gz,No Monitor Logs Present in Archives
9022021103904002,\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_01-01.21.tar - Copy.gz,No Monitor Logs Present in Archives
9022021104101871,\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_01-01.21.tar - Copy.gz,No Monitor Logs Present in Archives
9022021112716932,\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_01-01.21.tar - Copy.gz,No Monitor Logs Present in Archives
9022021115651085,\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_01-01.21.tar - Copy.gz,No Monitor Logs Present in Archives
09022021120150704,\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_01-01.21.tar - Copy.gz,No Monitor Logs Present in Archives
