Path1,Id
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\REPO-MONITOR_11-12.20.tar.gz,20012000000000000
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\REPO-MONITOR_15-01.21.tar.gz,20012000000000000
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\REPO-MONITOR_15-01.21.tar.gz,20012000000000000
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\REPO-MONITOR_27-11.20.tar.gz,20012021195506700
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\REPO-MONITOR_25-12.20.tar.gz,21012021105819984
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_01-01.21.tar.gz,21012021111604615
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_04-12.20.tar.gz,21012021111604876
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_08-01.21.tar.gz,21012021111605129
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_11-12.20.tar.gz,21012021111605386
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_15-01.21.tar.gz,21012021111605647
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_18-12.20.tar.gz,21012021111605899
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_25-12.20.tar.gz,21012021111606146
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_27-11.20.tar.gz,21012021111606393
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\REPO-MONITOR_01-01.21.tar.gz,21012021111606650
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\REPO-MONITOR_04-12.20.tar.gz,21012021111606904
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\REPO-MONITOR_08-01.21.tar.gz,21012021111607158
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\REPO-MONITOR_18-12.20.tar.gz,21012021111713400
\\sftp.eu.xonxradingx.com\LonSupp\hsbclon\Monitor_Logs\DM_gbl18645\02082021,9022021092557810
\\sftp.eu.xonxradingx.com\LonSupp\hsbclon\Monitor_Logs\DM_gbl18645\02072021,9022021103048853
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_05-02.21.tar.gz,9022021104102118
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\REPO-MONITOR_05-02.21.tar.gz,9022021104102358
\\sftp.eu.xonxradingx.com\LonSupp\hsbclon\Monitor_Logs\DM_gbl18645\02022021,9022021104239949
\\sftp.eu.xonxradingx.com\LonSupp\hsbclon\Monitor_Logs\DM_gbl18645\02032021,9022021104240189
\\sftp.eu.xonxradingx.com\LonSupp\hsbclon\Monitor_Logs\DM_gbl18645\02042021,9022021104240433
\\sftp.eu.xonxradingx.com\LonSupp\hsbclon\Monitor_Logs\DM_gbl18645\02052021,9022021104240678
\\sftp.eu.xonxradingx.com\LonSupp\hsbclon\Monitor_Logs\DM_gbl18645\02062021,9022021115659092
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\MONITOR_12-02.21.tar.gz,14022021072849265
\\sftp.eu.xonxradingx.com\LonSupp\mizuhocb\Monitor\REPO-MONITOR_12-02.21.tar.gz,14022021072849508
\\sftp.eu.xonxradingx.com\LonSupp\hsbclon\Monitor_Logs\DM_gbl18645\02092021,14022021073028817
\\sftp.eu.xonxradingx.com\LonSupp\hsbclon\Monitor_Logs\DM_gbl18645\02102021,14022021073029061
\\sftp.eu.xonxradingx.com\LonSupp\hsbclon\Monitor_Logs\DM_gbl18645\02122021,14022021082610917
\\sftp.eu.xonxradingx.com\LonSupp\hsbclon\Monitor_Logs\DM_gbl18645\02132021,14022021083853651
